payer_name,domain,payer_type,search_aliases
Chorus Community Health Plans,chorushealth.org,Medicaid MCO,Chorus Community Health Plans|Children's Community Health Plan|CCHP Wisconsin
Cigna Corporation,cigna.com,National,Cigna|Cigna Group|Cigna Healthcare|Evernorth
Community First Health Plans,cfhp.com,Regional,Community First Health Plans|CFHP|Community First Health
Community Health Group,communityhealthgroup.org,Medicaid MCO,Community Health Group|CHG San Diego
Contra Costa Health Plan,contracostahealthplan.org,Medicaid MCO,Contra Costa Health Plan|CCHP|Contra Costa Health Services
Cook Children's Health Plan (CCHP),cookchildrenshealthplan.org,Medicaid MCO,Cook Children's Health Plan|Cook Childrens Health Plan|CCHP Texas
Devoted Health,devoted.com,Medicare Advantage,Devoted Health|Devoted
Driscoll Health Plan,driscollhealthplan.com,Medicaid MCO,Driscoll Health Plan|Driscoll Children's Health Plan
El Paso First Health Plans,elpasofirst.org,Medicaid MCO,El Paso First Health Plans|El Paso First|EPF Health Plans
Elevance Health,elevancehealth.com,National,Elevance Health|Anthem|Anthem Inc|Anthem BCBS
EmblemHealth Inc.,emblemhealth.com,Regional,EmblemHealth|Emblem Health|GHI|HIP Health Plan
Essence Inc.,essencehealthcare.com,Medicare Advantage,Essence Healthcare|Essence Inc|Essence Health
Excellus BlueCross BlueShield,excellusbcbs.com,Blues Plan,Excellus BCBS|Excellus BlueCross BlueShield|Excellus Health Plan
Fallon Health,fallonhealth.org,Regional,Fallon Health|Fallon Community Health Plan|FCHP
Florida Blue,floridablue.com,Blues Plan,Florida Blue|GuideWell|BCBS Florida|GuideWell Mutual
Geisinger Health Plan,geisinger.org,Regional,Geisinger Health Plan|Geisinger|GHP
Gold Coast Health Plan,goldcoasthealthplan.org,Medicaid MCO,Gold Coast Health Plan|GCHP|Ventura County Health Plan
Health Alliance Plan,hap.org,Regional,Health Alliance Plan|HAP|Henry Ford Health Alliance Plan
Health Plan of San Joaquin,hpsj.com,Medicaid MCO,Health Plan of San Joaquin|HPSJ
Horizon Blue Cross Blue Shield of New Jersey,horizonblue.com,Blues Plan,Horizon BCBSNJ|Horizon Blue Cross|Horizon NJ Health|BCBS New Jersey
